date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2020-10-17,83,97,82,59,99,54,67,97,30060,32100,2040,5040,22590,2430,504,94,150,15840,2020-10-16T22:40:31.000+01:00,2020-10-17T07:35:31.000+01:00,71.6,67,18,-0.09,0.11,17.375,74,49,95,43,71,95,242,2538,4718,3939,45900,25980,14040,480,0,0,1.34375,1,84,81,84,87,86,100,85,79,85
2020-10-18,80,97,89,41,95,53,86,70,30000,33360,3360,5460,22800,1740,439,90,600,17040,2020-10-17T23:14:32.000+01:00,2020-10-18T08:30:32.000+01:00,71.63,65,18,0.4,0.31,17,87,86,95,60,96,100,1686,4032,16857,28645,27120,30240,13740,15240,60,0,2.09375,1,81,75,88,86,89,70,94,76,74
2020-10-19,65,69,75,22,96,48,72,68,22050,24360,2310,4620,16500,930,352,91,270,12210,2020-10-19T00:38:34.000+01:00,2020-10-19T07:24:34.000+01:00,67.19,63,17,-0.13,0.24,16.25,83,56,100,60,100,100,398,2679,8854,6915,38940,32820,11880,2760,0,0,1.40625,0,72,47,83,60,57,100,100,72,63
2020-10-20,87,93,96,86,100,58,72,100,27780,28860,1080,6630,17610,3540,471,96,270,14460,2020-10-19T22:44:30.000+01:00,2020-10-20T06:45:30.000+01:00,68.89,65,24,-0.05,0.07,17.125,72,50,43,43,100,100,420,2717,7917,6971,44880,27240,11520,2100,660,0,1.4375,4,85,89,85,87,58,100,93,79,100
2020-10-21,81,89,89,31,88,64,99,98,26730,30900,4170,5460,19950,1320,401,87,870,16380,2020-10-20T22:29:49.000+01:00,2020-10-21T07:04:49.000+01:00,70.29,64,20,-0.62,-0.34,17,81,71,95,43,100,99,178,2426,3672,2823,34980,27480,9000,420,0,14520,1.28125,1,82,77,85,73,61,84,100,80,84
2020-10-22,69,68,92,19,100,65,62,78,21990,23040,1050,5640,15510,840,300,95,30,11310,2020-10-22T00:34:00.000+01:00,2020-10-22T06:58:00.000+01:00,69.65,65,20,0.04,-0.17,17.5,74,55,100,25,96,97,196,2477,4116,3077,42180,30600,13560,60,0,0,1.3125,0,78,54,80,95,69,100,93,81,70
2020-10-23,72,76,83,44,100,58,59,82,23880,24780,900,5070,16980,1830,407,96,0,12270,2020-10-23T00:10:03.000+01:00,2020-10-23T07:03:03.000+01:00,70.21,64,22,-0.06,0.1,17,74,56,100,25,100,96,427,2722,9518,7188,42840,28980,11280,3300,0,0,1.4375,0,79,60,77,91,75,100,100,85,59
2020-10-24,86,96,96,85,100,54,70,88,28590,30000,1410,6450,18690,3450,442,95,210,15000,2020-10-23T23:12:00.000+01:00,2020-10-24T07:32:00.000+01:00,70.65,66,22,0.29,0.36,16.5,83,88,100,43,100,97,698,2948,13255,12262,26520,39180,15540,4080,1080,0,1.53125,0,84,87,82,83,77,80,84,86,85
2020-10-25,73,87,95,1,93,53,59,100,26400,29700,3300,6060,20340,0,393,89,0,14940,2020-10-24T20:47:59.000+00:00,2020-10-25T05:02:59.000+00:00,69.98,64,16,0.07,0.3,16.875,76,76,95,25,100,96,348,2623,6796,6161,32580,31440,16800,1020,60,4500,1.375,1,79,61,82,74,71,99,100,82,75
2020-10-26,74,67,61,95,97,49,78,100,21690,23700,2010,3780,13650,4260,369,92,390,11760,2020-10-25T21:50:01.000+00:00,2020-10-26T04:25:01.000+00:00,71.31,67,25,0.34,0.54,17.25,72,51,95,25,96,96,382,2694,7827,6385,43800,25800,14700,2040,60,0,1.40625,1,76,63,77,93,76,76,75,87,64
